Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
23/01/2022,25.2,31.6,27.6,80,0,8.6,6,350,2
24/01/2022,24.6,32.6,28.3,80,0.7,5.6,7,340,3
25/01/2022,25.2,32.4,28.6,76,0,10.5,7,330,3
26/01/2022,25,30.7,27.2,85,3.7,6.3,10,290,4
27/01/2022,24.7,32.1,27.8,82,10.3,3.9,8,300,3
28/01/2022,25,32.2,28.3,75,0,4,8,320,3
29/01/2022,25.6,32.2,28.3,78,0.3,6,8,330,4
30/01/2022,25.6,32.2,28.7,77,,6.5,7,340,3
31/01/2022,24.7,31.2,27.9,76,,7.4,8,330,2
01/02/2022,25.3,32.3,27.5,81,4.2,1.5,8,310,3
02/02/2022,23.6,32.2,27.4,80,5.5,6.7,11,320,3
03/02/2022,25.2,32,28.4,75,0,6.4,6,340,3
04/02/2022,24.8,32,27.9,79,0,7,7,330,2
05/02/2022,24.8,30.4,26.2,88,4.3,4.5,5,310,2
06/02/2022,24.6,31.2,27.4,81,17,0.3,11,320,4
07/02/2022,23.3,28,25.2,89,31.4,6.4,5,280,2
08/02/2022,23.5,29.3,26.8,82,4.2,0,7,300,2
09/02/2022,25,32.4,27.2,81,6,1.5,9,340,3
10/02/2022,24,31.7,27.3,77,3.9,7.2,8,330,3
11/02/2022,24.4,31.8,27.7,78,47.5,2.5,8,310,3
12/02/2022,24.4,30.4,27.1,84,12.7,5.8,7,330,3
13/02/2022,24.1,30.4,27,85,30.8,5.3,7,310,3
14/02/2022,24.3,32.8,27,81,2.5,1.1,5,10,2
15/02/2022,24.3,31.2,27.4,81,16.8,3.3,4,350,2
16/02/2022,25.2,34.4,27.7,78,0,1.3,8,10,3
17/02/2022,25.2,32.8,27.3,82,3.2,8,6,130,2
18/02/2022,23.8,27.2,25.4,91,29,6.3,4,120,2
19/02/2022,23.9,31,27.6,78,24.5,0,6,320,2
20/02/2022,25,31.3,28,80,0.2,10.4,5,300,2
21/02/2022,25.8,30.4,27,81,,1.3,4,350,2
22/02/2022,23.8,31,26.8,79,10.1,0.1,6,310,2
23/02/2022,24,31.4,27.1,81,,1,8,340,2
24/02/2022,24,31.4,27.6,77,2,5.8,8,340,2
25/02/2022,24.1,30.8,27.3,78,6,8.7,6,320,2
26/02/2022,24.8,31.6,28.1,79,0,2.5,9,330,3
27/02/2022,25.6,32,28.9,70,,5.6,12,320,4
28/02/2022,24.9,30,27.2,85,14.5,7.3,7,310,2
01/03/2022,24.7,31.9,27.5,81,13.7,0.1,7,330,3
